	English	Japanese (日本語)	Vietnam	Portuguese	Russian	Spanish	French	German	Turkish	Korean	Chinese Simplified	Chinese Traditional
47029	Free for all	Free for all	Free for all	Grátis para todos	Для всех	Grátis para todos	Gratuit pour tous	Frei für alle	Free For All			
47030	VIP player server only	VIP player server only	VIP player server only	Apenas servidor para jogadores VIP	Сервер только для VIP-игроков	Servidor sólo para jugadores VIP	Serveur pour joueurs VIP	Server für VIP Spieler	Sadece VIP oyuncu sunucusu			
47031	Only the strongest survive	Only the strongest survive	Only the strongest survive	Somente o mais forte sobrevive	Выживет сильнейший	Sólo los más fuertes sobreviven	Seul les plus forts survivent	Nur die Stärksten überleben 	Sadece en güçlü kazanır.			
47032	VIP EASY	VIP EASY	VIP EASY	VIP fácil	VIP - ЛЕГКО	VIP fácil	VIP FACILE	VIP EINFACH	VIP KOLAY			
47033	VIP NORMAL	VIP NORMAL	VIP NORMAL	VIP Normal	VIP - НОРМАЛЬНО	VIP Normal	VIP NORMAL	VIP NORMAL	VIP NORMAL			
47034	VIP HARD	VIP HARD	VIP HARD	VIP Difícil	VIP - СЛОЖНО	VIP Difícil	VIP DIFFICILE	VIP HARD	VIP ZOR			
47035	Multiplayer Leaderboard	Multiplayer Leaderboard	Multiplayer Leaderboard	Os melhores multiplayer	Многопольз. таблица лидеров	Tabla de Clasificación Multijugador	Classement multijoueur	Mehrspieler Rangliste	Çok Oyunculu Lider Tahtası			
47036	Recent Player	Recent Player	Recent Player	Jogador recente	Недавние игроки	Recent Player	Joueurs récents	Aktuelle Spieler	Daha deminki oyuncu			
47037	HOST A ROOM	HOST A ROOM	HOST A ROOM	Hospedar uma sala	СОЗДАТЬ КОМНАТУ	Crear una sesión	CREER UNE PIECE	Erstelle einen Raum	BIR ODA KUR			
47038	Room Name	Room Name	Room Name	Nome da sala	Название комнаты	Nombre de la sala	Nom de la pièce	Raumname	Oda Adı			
47039	Host Name	Host Name	Host Name	Nome do Host	Имя хозяина	Nombre del Host	Nom de l'hôte	Host-Name	Host adı			
47040	Adjust your speed	Adjust your speed	Adjust your speed	Ajuste sua velocidade	Настройте скорость	Ajusta tu velocidad	Choisissez votre vitesse	Passe die Geschwindigkeit an	Hızını Ayarla			
47041	Slow	Slow	Slow	Slow	Slow	Slow	Slow	Slow	Slow			
47042	Normal	Normal	Normal	Normal	Нормально	Normal	Normal	Normal	Orta			
47043	Fast	Fast	Fast	Fast	Fast	Fast	Fast	Fast	Fast			
47044	DEATH MATCH	DEATH MATCH	DEATH MATCH	Partida da morte	КАЖДЫЙ ЗА СЕБЯ	Partida a muerte	MATCH A MORT	Todes Match	ÖLÜM MAÇI (DM)			
47045	Login to see your ranking	Login to see your ranking	Login to see your ranking	Faça login para ver seu ranking	Войдите через Facebook, чтобы посмотреть свой рейтинг и не только	Inicie sesión para ver su clasificación	Connectez-vous pour voir votre classement	Melde dich an um deinen Rang zu sehen	Sıralamanı görmek için giriş yap			
47046	You need to buy VIP Pass({0}) to access this Room. VIP Pass helps you to unlock all Premium songs forever	You need to buy VIP Pass to access this Room. VIP Pass({0}) helps you to unlock all Premium songs forever	You need to buy VIP Pass({0}) to access this Room. VIP Pass helps you to unlock all Premium songs forever	Você precisa comprar o passe VIP({0}) para acessar esta sala. O passe VIP te ajuda a desbloquear todas as musicas premium para sempre e remove todos os ADS	Для доступа к этой комнате нужен VIP-пропуск({0}). VIP-пропуск открывает все премиум-песни навсегда и убирает всю рекламу	Necesitas comprar páse VIP ({0}) para acceder a esta Sala.El páse VIP te ayuda a desbloquear todas las canciones Premium para siempre	Vous devez acheter un pass VIP pour entrer({0}). Le pass VIP vous permet de débloquer toutes les chansons prémium et enlève les pubs.	Du musst einen VIP Pass({0}) um diesen Raum betreten zu können. Mit einem VIP Pass schaltest du alle Songs für immer frei und entfernst die Werbung	Bu odaya girebilmen için VIP Pasosu({0}) satın alman lazım. VIP Pasosu ile birlikte, tüm Premium şarkıları sonsuza dek açarsın, ve reklamlar kalkar.			
47047	Please log in to host a room. Other users would like to know who you are	Please log in to host a room. Other users would like to know who you are	Please log in to host a room. Other users would like to know who you are	Por favor, faça login para hospedar uma sala. Outros usuários gostariam de saber quem você é	Войдите в систему, чтобы создать комнату. Другие пользователи хотят знать, кто вы	Inicie sesión para poder crear una sala. Otros usuarios quieren saber quién eres	Veuillez vous connecter pour créer une pièce. Les autres voudraient savoir qui vous êtes.	Betrete einen Raum. Andere Nutzer möchten wissen wer du bist	Bir oda yaratmak için giriş yapman gerek. Diğer kullanıcılar, sizin kim olduğunuzu bilmek isteyebilir.			
47048	GENERAL EASY	GENERAL EASY	GENERAL EASY	Geral Fácil	ДЛЯ ВСЕХ - ЛЕГКО	GENERAL FÁCIL	GENERAL FACILE	Einfach	KOLAY			
47049	GENERAL NORMAL	GENERAL NORMAL	GENERAL NORMAL	Geral Normal	ДЛЯ ВСЕХ - НОРМАЛЬНО	GENERAL NORMAL	GENERAL NORMAL	Normal	NORMAL			
47050	GENERAL HARD	GENERAL HARD	GENERAL HARD	Geral difícil	ДЛЯ ВСЕХ - СЛОЖНО	GENERAL DIFICIL	GENERAL DIFFICILE	Schwer	ZOR			
47051	VIP EASY	VIP EASY	VIP EASY	VIP fácil	VIP - ЛЕГКО	VIP FACIL	VIP FACILE	VIP EINFACH	VIP KOLAY			
47052	VIP NORMAL	VIP NORMAL	VIP NORMAL	VIP Normal	VIP - НОРМАЛЬНО	VIP NORMAL	VIP NORMAL	VIP NORMAL	VIP NORMAL			
47053	VIP HARD	VIP HARD	VIP HARD	VIP Difícil	VIP - СЛОЖНО	VIP DIFICIL	VIP DIFFICILE	VIP SCHWER	VIP ZOR			
47054	You cannot create more rooms because there are many already. Please join existing room	The room is limit to create, please try play in exists room	The room is limit to create, please try play in exists room	Você não pode criar mais salas porque já existem muitas. Por favor, entre em uma sala existente.	Нельзя создавать новые комнаты, их уже достаточно много. Войдите в существующую комнату	No se puede crear más salas porque ya hay muchas. Únete a una sala existente	La limite de nouvelles pièces à été atteinte, veuillez rejoindre une pièce existante.	Du kannst keine Räume mehr erstellen da zu viele Räume existieren. Bitte betrete einen anderen Raum 	Oda yaratamazsın, çünkü zaten bir sürü oda oluşturulmuş. Oluşturulmuş odalardan birine katılın.			
47055	You can only select premium song shared by all members in the room	You can only select premium shared by all members in the room	You can only select premium shared by all members in the room	Você só pode selecionar uma musica premium compartilhada por todos os membros na sala	Вы можете выбрать премиум-песню, только если она есть у всех игроков в комнате	Sólo puede seleccionar una canción premium compartida por todos los miembros de la sala	Vous pouvez sélectionner que les chansons prémiums possédés par tous les joueurs dans la pièce	Du kannst nur Premium Songs wählen, die andere Spieler ebenfalls besitzen	Sadece odadaki herkezin sahip olduğu premium şarkıyı seçebilirsin			
47056	READY	READY	READY	Pronto	ГОТОВ	LISTO	PRET	BEREIT 	HAZIR			
47057	CANCEL	CANCEL	CANCEL	Cancelar	Отмена	CANCELAR	ANNULER	ABBRECHEN 	İPTAL			
47058	START	START	START	Iniciar	СТАРТ	INICIAR	COMMENCER	START 	BAŞLA			
47059	You need at least 2 people in the room to start	You need at least 2 people in the room to start	You need at least 2 people in the room to start	Você precisa de pelo menos 2 pessoas na sala para iniciar	В комнате должно быть не менее 2 игроков	Necesitas al menos 2 personas en la sala para comenzar	Vous ne pouvez pas jouer tout seul !	Es müssen 2 Leute in diesem Raum sein um das Spiel zu starten	Oyunu başlatmak için odada en az 2 kişi bulunmalıdır.			
47060	The host can only start the game when you're ready. Click here to let your host know you're ready	The host can only start the game when you're ready. Click here to let your host know you're ready	The host can only start the game when you're ready. Click here to let your host know you're ready	O hospedeiro somente pode iniciar o jogo quando você estiver pronto. Clique aqui e deixe seu hospedeiro saber que você está pronto.	Хозяин сможет начать игру, только когда вы будете готовы. Нажмите сюда, чтобы сообщить, что вы готовы	El anfitrión sólo puede iniciar el juego cuando estés listo. Haga clic aquí para que el anfitrión sepa que estás listo	L'hôte ne peut que commencer le jeu quand vous êtes prêts. Cliquez ici pour lui montrer que vous l'êtes.	Der Host kann das Spiel erst starten sobald du bereit bist. Klick hier um den Host wissen zu lassen das du bereit bist	Odanın hostu, sen dahil herkez hazır olduğunda oyunu başlatabilir. Buraya tıkla ki host oyunu başlatsın.			
47061	You can only start the room when all members are ready. Remind them to press READY if needed	You can only start the room when all members are ready. Remind them to press READY if needed	You can only start the room when all members are ready. Remind them to press READY if needed	Você somente pode iniciar a sala quando todos os membros estiverem prontos. Lembre a eles de pressionar PRONTO se necessário.	Вы можете начать игру, только когда все в комнате готовы. Можете напомнить им, что нужно нажать на «ГОТОВ»	Sólo puede iniciar la sesión cuando todos los miembros estén listos. Recuérdales que presionen LISTO si es necesario	Vous devez attendre que tous les joueurs soient prêts. Rappelez-leur d'appuier sur PRET si necessaire.	Du kannst erst starten sobald alle Mitspieler bereit sind. Erinnere sie daran bereit zu drücken wenn es nötig ist	Odadaki herkes hazır olduğunda oyunu başlatabilirsin. Odadakilere HAZIR'a basmayı hatırlat.			
47062	You can only start the room when all members are ready.	You can only start the room when all members are ready.	You can only start the room when all members are ready.	Você somente pode iniciar a sala quando todos os membros estiverem prontos.	Вы можете начать игру, только когда все в комнате готовы.	Sólo puede iniciar la sesión cuando todos los miembros estén listos.	Vous devez attendre que tous les joueurs soient prêts.	Du kannst erst starten sobald alle Mitspieler bereit sind 	Odadaki herkez hazır olduğunda oyunu başlatabilirsin.			
47063	Click to join a room or create one on your own	Click to join a room or create one on your own	Click to join a room or create one on your own	Clique para entrar em uma sala ou criar um em seu próprio	Нажмите, чтобы присоединиться комнату или создать самостоятельно	Haga clic para unirse a una sala o cree una por su cuenta	Cliquez ici pour rejoindre une pièce ou en créer un sur votre propre	Klicken um einen Raum zu betreten oder öffne einen eigenen	Kendi başına bir tane bir oda katılmak veya oluşturmak için tıklayın			
47064	CREATE ROOM	CREATE ROOM	CREATE ROOM	criar espaço	СОЗДАТЬ КОМНАТУ	CREAR UNA SALA	CHAMBRE CREATE	Raum erstellen	ODA CREATE			
47065	Type your room name...	Type your room name...	Type your room name...	Digite seu nome de sala ...	Введите название комнаты ...	Escriba el nombre de la sala...	Tapez le nom de votre chambre ...	Geben den Raumnamen ein	Odanızın adını yazın ...			
47066	Your room name can't be empty...	Your room name can't be empty...	Your room name can't be empty...	Seu nome da sala não pode estar vazio ...	Ваше имя номер не может быть пустым ...	El nombre de tu sala no está vacío ...	Votre nom de chambre ne peut pas être vide ...	Ihr Zimmer Name ist nicht leer ...	Odan adı boş olamaz ...			
47067	Current theme: 	Current theme: 	Current theme: 	Tema atual:	Текущая тема:	Tema actual:	Thème actuel:	Aktueller Hintergrund	Güncel tema:			
47068	Room  is Full	Room  is Full	Room  is Full	Sala está cheia	Номер является полным	La sala está llena	La chambre est pleine	Raum ist voll	Oda Dolu			
47069	Server is maintain	Server is maintain	Server is maintain	Servidor é manter	Сервер поддерживать	El servidor se mantiene	Server est de maintenir	Server wird gewartet	Sunucu korumak olduğunu			
47070	Need Update new version	Need Update new version	Need Update new version	Precisa da atualização nova versão	Нужно Обновление новой версии	Necesitas actualizarte a la nueva versión	Besoin d'une nouvelle version mise à jour	Bitte aktualiesieren sie ihr Spiel	yeni versiyonudur ihtiyacınız			
47071	NOT READY	NOT READY	NOT READY	Não preparado	NOT READY	NOT READY	NOT READY	Nicht Bereit	nicht Bereit			
47072	Room is in process	Room is in process	Room is in process	A sala está em processo	Room is in process	Room is in process	Room is in process	Raum ist in bearbeitung	Oda çoktan başladı			
47073	Open	Open	Open	Aberto	Open	Open	Open	Öffnen	Aç			
47074	In process	In process	In process	Em processo	In process	In process	In process	In bearbeitung	In progress			
47075	VIP ROOM	VIP ROOM	VIP ROOM	Sala VIP	VIP ROOM	VIP ROOM	VIP ROOM	VIP RAUM	VIP Odası			
47076	PARTICIPANTS	PARTICIPANTS	PARTICIPANTS	Participantes	PARTICIPANTS	PARTICIPANTS	PARTICIPANTS	Teilnehmer	PARTICIPANTS			
47077	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Sohbet			
47078	Kick	Kick	Kick	Início	Kick	Kick	Kick	Kick	At			
47079	Loading	Loading	Loading	Carregando	Loading	Loading	Loading	Lade	Yükleniyor			
47080	Result	Result	Result	Resultado	Result	Result	Result	Result	Result			
47081	Game will be started in	Game will be started in	Game will be started in	O jogo iniciará em	Game will be started in	Game will be started in	Game will be started in	Game will be started in	Game will be started in			
47082	joined	joined	joined	juntou	joined	joined	joined	joined	joined			
47083	left	left	left	esquerda	left	left	left	left	left			
47084	The song has been changed to	The song has been changed to	The song has been changed to	A música foi alterada para	The song has been changed to	The song has been changed to	The song has been changed to	The song has been changed to	The song has been changed to			
47085	First place!	First place!	First place!	Primeiro Lugar	First place!	First place!	First place!	First place!	First place!			
47086	Second place!	Second place!	Second place!	Segundo Lugar	Second place!	Second place!	Second place!	Second place!	Second place!			
47087	Third place!	Third place!	Third place!	Terceiro Lugar	Third place!	Third place!	Third place!	Third place!	Third place!			
47088	Fourth place!	Fourth place!	Fourth place!	Quarto Lugar	Fourth place!	Fourth place!	Fourth place!	Fourth place!	Fourth place!			
47089	Fifth place!	Fifth place!	Fifth place!	Quinto Lugar	Fifth place!	Fifth place!	Fifth place!	Fifth place!	Fifth place!			
47090	Sixth place!	Sixth place!	Sixth place!	Sexto lugar!	Sixth place!	Sixth place!	Sixth place!	Sixth place!	Sixth place!			
47091	Unlock at	Unlock at	Unlock at	Unlock at	Unlock at	Unlock at	Unlock at	Unlock at	Unlock at			
47092	Congratulations, you are now level {0} and have unlocked a new song	Congratulations, you are now level {0} and have unlocked a new song	Congratulations, you are now level {0} and have unlocked a new song	Congratulations, you are now level {0} and have unlocked a new song	Congratulations, you are now level {0} and have unlocked a new song	Congratulations, you are now level {0} and have unlocked a new song	Congratulations, you are now level {0} and have unlocked a new song	Congratulations, you are now level {0} and have unlocked a new song	Congratulations, you are now level {0} and have unlocked a new song			
47093	SETTINGS	SETTINGS	SETTINGS	SETTINGS	SETTINGS	SETTINGS	SETTINGS	SETTINGS	SETTINGS			
47094	Congratulations, you are now level {0}	Congratulations, you are now level {0}	Congratulations, you are now level {0}	Congratulations, you are now level {0}	Congratulations, you are now level {0}	Congratulations, you are now level {0}	Congratulations, you are now level {0}	Congratulations, you are now level {0}	Congratulations, you are now level {0}			
//Search												
48001	Available charts	Available charts	Available charts	Available charts	Available charts	Tablas disponibles	Available charts	Verfügbare Charts	Available charts			
48002	Available in packs	Available in packs	Available in packs	Disponível em pacotes	Available in packs	Disponible en paquetes	Disponible en packs	Erhältlich in Packs	Available in packs			
48003	No chart found	No chart found	No chart found	Nenhum chart encontrado	No chart found	No se encontraron tablas	Aucun classement trouvé	Keine Charts gefunden	No chart found			
//DeathMatch												
50000	Current Song {0}	Current Song {0}	Current Song {0}	Música atual {0}	Current Song {0}	Canción actual {0}	Chanson en cours {0}	Aktueller Song {0}	Current Song {0}	Current Song {0}		
50001	Next Song {0}	Next Song {0}	Next Song {0}	Próxima música {0}	Next Song {0}	Siguiente canción {0}	Chanson suivante {0}	Nächster Song {0}	Next Song {0}	Next Song {0}		
50002	Participant	Participant	Participant	Participante	Participant	Participante	Participant	Teilnehmer	Participant	Participant		
50003	Next Round will be ready in	Next Round will be ready in	Next Round will be ready in	A próxima rodada estará pronta em	Next Round will be ready in	La siguiente ronda estará lista en	Le tour suivant sera prêt dans	Nächste Runde ist bereit in	Next Round will be ready in	Next Round will be ready in		
50004	Starting in 	Starting in 	Starting in 	Começando em	Starting in 	Inicio en	Début dans	Beginnt in	Starting in 	Starting in 		
50005	Playing - Ends in	Playing - Ends in	Playing - Ends in	Jogando - Termina em	Playing - Ends in	Jugando: termina en	Lecture - Fin dans	Spielt - Endet in	Playing - Ends in	Playing - Ends in		
50006	CUSTOM BATTLE	CUSTOM BATTLE	CUSTOM BATTLE	BATALHA PERSONALIZADA	CUSTOM BATTLE	BATALLA PERSONALIZADA	BATTLE PERSONNALISÉE	ANGEPASSTER KAMPF	CUSTOM BATTLE	CUSTOM BATTLE		
50007	Battle of 6 players	Battle of 6 players	Battle of 6 players	Batalha de 6 jogadores	Battle of 6 players	Batalla de 6 personas	Battle de 6 joueurs	Kampf mit 6 Spielern	Battle of 6 players	Battle of 6 players		
50008	DEATHMATCH	DEATHMATCH	DEATHMATCH	MATA-MATA	DEATHMATCH	PARTIDA A MUERTE	DEATHMATCH	DEATHMATCH	DEATHMATCH	DEATHMATCH		
50009	Battle with 100 players	Battle with 100 players	Battle with 100 players	Batalha com 100 jogadores	Battle with 100 players	Batalla de 100 personas	Battle avec 100 joueurs	Kampf mit 100 Spielern	Battle with 100 players	Battle with 100 players		
50010	Unlock at level {0}	Unlock at level {0}	Unlock at level {0}	Desbloqueado no nível {0}	Unlock at level {0}	Se desbloquea en el nivel {0}	Déverrouillé au niveau {0}	Freigeschaltet auf Level {0}	Unlock at level {0}	Unlock at level {0}		
50011	Congratulation! You are in top 5	Congratulation! You are in top 5	Congratulation! You are in top 5	Parabéns! Você está entre os 5 melhores	Congratulation! You are in top 5	¡Felicidades! Quedaste entre los mejores 5	Félicitations ! Vous êtes dans le Top 5	Glückwunsch! Du bist in den Top 5	Congratulation! You are in top 5	Congratulation! You are in top 5		
50012	Oops! You are not in top 5 ! Try again	Oops! You are not in top 5 ! Try again	Oops! You are not in top 5 ! Try again	Ops! Você não está entre os 5 melhores! Tente de novo	Oops! You are not in top 5 ! Try again	¡Ups! ¡No quedaste entre los mejores 5! Intenta de nuevo	Oups ! Vous n'êtes pas dans le Top 5 ! Réessayez	Ups! Du bist nicht in den Top 5! Versuche es erneut	Oops! You are not in top 5 ! Try again	Oops! You are not in top 5 ! Try again		
50013	CURRENT SONG	CURRENT SONG	CURRENT SONG	MÚSICA ATUAL	CURRENT SONG	CANCIÓN ACTUAL	CHANSON EN COURS	AKTUELLER SONG	CURRENT SONG	CURRENT SONG		
50014	NEXT SONG	NEXT SONG	NEXT SONG	PRÓXIMA MÚSICA	NEXT SONG	SIGUIENTE CANCIÓN	CHANSON SUIVANTE	NÄCHSTER SONG	NEXT SONG	NEXT SONG		
50015	Can not join Deathmatch Mode \n Please try again later	Can not join Deathmatch Mode \n Please try again later	Can not join Deathmatch Mode \n Please try again later	Não é possível entrar no Modo Mata-Mata \n Tente de novo mais tarde	Can not join Deathmatch Mode \n Please try again later	No puedes unirte al modo de Partida a muerte \n Por favor intenta de nuevo más tarde	Impossible d'intégrer le mode Deathmatch Mode \n Veuillez réessayer plus tard	Konnte Deathmatch-Modus nicht beitreten \n Bitte versuche es später wieder	Can not join Deathmatch Mode \n Please try again later	Can not join Deathmatch Mode \n Please try again later		
50016	Match is preparing	Match is preparing	Match is preparing	A partida está sendo preparada	Match is preparing	Se está preparando la partida	Match en préparation	Match wird vorbereitet	Match is preparing	Match is preparing		
50017	Get more energy	Get more energy	Get more energy	Obter mais energia	Get more energy	Obtén más energía	Obtenez plus d'énergie	Hol dir mehr Energie	Get more energy	Get more energy		
50018	Energy will refill after	Energy will refill after	Energy will refill after	A energia será reposta mais tarde	Energy will refill after	La energía se llenará después de	Votre énergie se remplira après	Energie wir aufgefüllt	Energy will refill after	Energy will refill after		
50019	Watch a video to get 1 free Energy	Watch a video to get 1 free Energy	Watch a video to get 1 free Energy	Assista a um vídeo para ganhar 1 Energia grátis	Watch a video to get 1 free Energy	Mira un video para obtener 1 energía gratis	Regardez une vidéo pour obtenir 1 point d'énergie gratuit	Schau dir ein Video an und erhalte 1 Energie	Watch a video to get 1 free Energy	Watch a video to get 1 free Energy		
50020	Unlimited energy	Unlimited energy	Unlimited energy	Energia ilimitada	Unlimited energy	Energía ilimitada	Énergie illimitée	Unbegrenzte Energie	Unlimited energy	Unlimited energy		
50021	Now you can join any Deathmatch battle without energy limitation	Now you can join any Deathmatch battle without energy limitation	Now you can join any Deathmatch battle without energy limitation	Agora você pode entrar em qualquer batalha de Mata-Mata sem limitação de energia	Now you can join any Deathmatch battle without energy limitation	Ahora puedes unirte a cualquier Partida a muerte con energía ilimitada	Vous pouvez désormais intégrer n'importe quelle battle Deathmatch sans limitation d'énergie	Jetzt kannst du jedem Deathmatch ohne Energiebeschränkung beitreten	Now you can join any Deathmatch battle without energy limitation	Now you can join any Deathmatch battle without energy limitation		
50022	NOT ENOUGH PLAYERS \nRequires at least 5 players to start	NOT ENOUGH PLAYERS \nRequires at least 5 players to start	NOT ENOUGH PLAYERS \nRequires at least 5 players to start	JOGADORES INSUFICIENTES \nRequer pelo menos 5 jogadores para começar	NOT ENOUGH PLAYERS \nRequires at least 5 players to start	NO HAY SUFICIENTES JUGADORES \nSe necesitan al menos 5 jugadores para iniciar	JOUEURS INSUFFISANTS \nAu moins 5 joueurs sont requis pour commencer	NICHT GENÜGEND SPIELER \nEs werden 5 Spieler benötigt	NOT ENOUGH PLAYERS \nRequires at least 5 players to start	NOT ENOUGH PLAYERS \nRequires at least 5 players to start		
50023	Room is processing \nPlease wait	Room is processing \nPlease wait	Room is processing \nPlease wait	A sala está sendo processada \nAguarde	Room is processing \nPlease wait	La sala se está procesando \nPor favor espera	Salle en préparation \nVeuillez patienter	Raum wird bearbeitet \nBitte warten	Room is processing \nPlease wait	Room is processing \nPlease wait		
50024	ROOM IS FULL	ROOM IS FULL	ROOM IS FULL	A SALA ESTÁ CHEIA	ROOM IS FULL	LA SALA ESTÁ COMPLETA	SALLE PLEINE	RAUM IST VOLL	ROOM IS FULL	ROOM IS FULL		
50025	DEATHMATCH MODE IS UNLOCKED \nJoin now & compete with global players	DEATHMATCH MODE IS UNLOCKED \nJoin now & compete with global players	DEATHMATCH MODE IS UNLOCKED \nJoin now & compete with global players	O MODO MATA-MATA ESTÁ DESBLOQUEADO \nEntre agora e compita com jogadores do mundo todo	DEATHMATCH MODE IS UNLOCKED \nJoin now & compete with global players	EL MODO DE PARTIDA A MUERTE ESTÁ DESBLOQUEADO \nÚnete ahora y compite contra jugadores de todo el mundo	LE MODE DEATHMATCH EST DÉVERROUILLÉ \nEssayez-le maintenant pour affronter des joueurs du monde entier	DEATHMATCH-MODUS FREIGESCHALTET \n Mach mit & trete gegen Spieler auf der ganzen Welt an	DEATHMATCH MODE IS UNLOCKED \nJoin now & compete with global players	DEATHMATCH MODE IS UNLOCKED \nJoin now & compete with global players		
//Gacha												
60024	You have free spin	You have free spin	You have free spin	Você tem uma jogada grátis	You have free spin	Tienes un giro gratis	Vous avez un tour gratuit	Du hast ein Freispiel	You have free spin	You have free spin		
60025	Get more spin	Get more spin	Get more spin	Obter mais jogadas	Get more spin	Obtén más giros	Obtenir plus de tours	Hol dir Freispiele	Get more spin	Get more spin		
60026	Watch a video to get a free spin	Watch a video to get a free spin	Watch a video to get a free spin	Assista a um vídeo para obter uma jogada grátis	Watch a video to get a free spin	Mira un video para obtener un giro gratis	Regardez une vidéo pour obtenir un tour gratuit	Schau dir ein Video an und erhalte ein Freispiel	Watch a video to get a free spin	Watch a video to get a free spin		
60027	You have a free spin today! \nLet's claim your prize	You have a free spin today! \nLet's claim your prize	You have a free spin today! \nLet's claim your prize	Você tem uma jogada grátis hoje! \nVamos reivindicar o seu prêmio	You have a free spin today! \nLet's claim your prize	¡Hoy tienes un giro gratis! \nReclamemos tu premio	Vous avez un tour gratuit aujourd'hui ! \nAllez obtenir votre récompense	Du hast heute ein Freispiel! \nHol dir deinen Preis	You have a free spin today! \nLet's claim your prize	You have a free spin today! \nLet's claim your prize		
60028	Spin refills after	You have a free spin today! \nLet's claim your prize	You have a free spin today! \nLet's claim your prize	A jogada será reposta após	You have a free spin today! \nLet's claim your prize	El giro se recuperará después de	Vos tours se rechargent après	Freispiele aufgefüllt in	You have a free spin today! \nLet's claim your prize	You have a free spin today! \nLet's claim your prize		
60029	Congratulation	Congratulation	Congratulation	Parabéns	Congratulation	Felicidades	Félicitations	Glückwunsch	Congratulation	Congratulation		
60030	Spin	Spin	Spin	Jogada	Spin	Giro	Tour	Freispiel	Spin	Spin		
//Discount Feature												
70000	Buy now!! Only 3 hours remaining on special discount	Buy now!! Only 3 hours remaining on special discount	Buy now!! Only 3 hours remaining on special discount	Compre agora!! Só restam 3 horas para obter o desconto especial	Buy now!! Only 3 hours remaining on special discount	¡¡Compra ahora!! Solo le quedan 3 horas a nuestro descuento especial	À acheter dès maintenant !! Plus que 3 heures pour profiter de la réduction spéciale	Jetzt kaufen!! Nur 3 Stunden übrig für diesen besonderen Rabatt	Buy now!! Only 3 hours remaining on special discount	Buy now!! Only 3 hours remaining on special discount		
70001	Buy now!! Only 12 hours remaining on special discount	Buy now!! Only 12 hours remaining on special discount	Buy now!! Only 12 hours remaining on special discount	Compre agora!! Só restam 12 horas para o desconto especial	Buy now!! Only 12 hours remaining on special discount	¡¡Compra ahora!! Solo le quedan 12 horas a nuestro descuento especial	À acheter dès maintenant !! Plus que 12 heures pour profiter de la réduction spéciale	Jetzt kaufen!! Nur 12 Stunden übrig für diesen besonderen Rabatt	Buy now!! Only 12 hours remaining on special discount	Buy now!! Only 12 hours remaining on special discount		
70002	HOLIDAY OFFERS!	HOLIDAY OFFERS!	HOLIDAY OFFERS!	OFERTAS DE FÉRIAS!	ПРАЗДНИК ПРЕДЛАГАЕТ!	¡OFERTAS EXCELENTES!	OFFRES EXCEPTIONNELLES !	COOLE ANGEBOTE!	HOLIDAY OFFERS!	HOLIDAY OFFERS!		
70003	SAVE UP TO 50%	SAVE UP TO 50%	SAVE UP TO 50%	GUARDE ATÉ 50%	СОХРАНИТЬ ДО 50%	AHORRA 30%	ÉCONOMISEZ 30 %	SPARE 30%	SAVE UP TO 50%	SAVE UP TO 50%		
70004	ENDS IN	ENDS IN	ENDS IN	TERMINA EM	ENDS IN	TERMINA EN	FIN DANS	ENDET IN	ENDS IN	ENDS IN		
70005	HOT DEAL	HOT DEAL	HOT DEAL	IMPERDÍVEL	HOT DEAL	OFERTA CANDENTE	OFFRE EXCEPTIONNELLE	HEISSER DEAL	HOT DEAL	HOT DEAL		
//Weekly Tournament 												
80000	Christmas Tournament	Christmas Tournament	Christmas Tournament	Christmas Tournament	Christmas Tournament	Torneo semanal	Tournoi hebdomadaire	Wöchentliches Turnier	Christmas Tournament	Christmas Tournament		
80001	Winners of last week 	Winners of last week 	Winners of last week 	Vencedores da última semana	Winners of last week 	Ganadores de la semana pasada	Gagnants de la semaine dernière	Gewinner der letzten Woche	Winners of last week 	Winners of last week 		
80002	CURRENT SCORE	CURRENT SCORE	CURRENT SCORE	PONTUAÇÃO ATUAL	CURRENT SCORE	PUNTUACIÓN ACTUAL	SCORE ACTUEL	AKTUELLE PUNKTZAHL	CURRENT SCORE	CURRENT SCORE		
80003	EVENT CHARTS	EVENT CHARTS	EVENT CHARTS	CHARTS DE EVENTOS	EVENT CHARTS	TABLAS DEL EVENTO	CLASSEMENTS D'ÉVÈNEMENT	EVENTCHARTS	EVENT CHARTS	EVENT CHARTS		
80004	remaining	remaining	remaining	restante(s)	remaining	restante	restant	verbleiben	remaining	remaining		
80005	New Tournament is beginning \nJoin us now 	New Tournament is beginning \nJoin us now 	New Tournament is beginning \nJoin us now 	O novo torneio está começando \nEntre agora	New Tournament is beginning \nJoin us now 	Va a empezar un nuevo torneo \nÚnete ahora	Un nouveau tournoi commence \nRejoignez-nous maintenant	Ein neues Turnier beginnt \nMach jetzt mit	New Tournament is beginning \nJoin us now 	New Tournament is beginning \nJoin us now 		
80006	NEW SEASON	NEW SEASON	NEW SEASON	NOVA TEMPORADA	NEW SEASON	NUEVA TEMPORADA	NOUVELLE SAISON	NEUE SAISON	NEW SEASON	NEW SEASON		
80007	Reward	Reward	Reward	Recompensa	Reward	Recompensa	Récompense	Belohnung	Reward	Reward		
